Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS_11000", 11, 1,    6349.48,    0.0,   0.99978, 2,    6350.81, -120.0,   0.99999, 3,    6349.59,  120.0,    0.9998
"3104358", 0.415, 1,    258.375,  -32.4,    1.0784, 3,    258.814,   87.5,    1.0802, 0, 0, 0, 0
"3105941", 0.415, 1,    256.545,  -32.3,    1.0707, 3,    257.337,   87.3,     1.074, 0, 0, 0, 0
"3104396", 0.415, 1,    250.922,  -32.2,    1.0473, 3,    252.736,   86.7,    1.0548, 0, 0, 0, 0
"3105962", 0.415, 1,    250.875,  -32.2,    1.0471, 3,    252.716,   86.7,    1.0547, 0, 0, 0, 0
"3104471", 0.415, 1,    259.813,  -32.4,    1.0844, 3,     260.04,   87.7,    1.0853, 0, 0, 0, 0
"3105995", 0.415, 1,    259.813,  -32.4,    1.0844, 3,     260.04,   87.7,    1.0853, 0, 0, 0, 0
"3104472", 0.415, 1,    252.264,  -32.3,    1.0529, 3,    254.843,   86.8,    1.0636, 0, 0, 0, 0
"3105996", 0.415, 1,    250.616,  -32.3,     1.046, 3,    253.973,   86.7,      1.06, 0, 0, 0, 0
"3104484", 0.415, 1,    246.734,  -32.3,    1.0298, 3,    251.362,   86.2,    1.0491, 0, 0, 0, 0
"3104708", 0.415, 1,    245.325,  -32.3,    1.0239, 3,    250.838,   86.1,    1.0469, 0, 0, 0, 0
"3104539", 0.415, 1,    246.984,  -32.3,    1.0308, 3,    251.484,   86.3,    1.0496, 0, 0, 0, 0
"3104545", 0.415, 1,    257.098,  -32.4,     1.073, 3,     257.07,   87.4,    1.0729, 0, 0, 0, 0
"3106027", 0.415, 1,    257.957,  -32.4,    1.0766, 2,    261.828, -150.3,    1.0928, 3,    257.637,   87.5,    1.0753
"3106028", 0.415, 1,    246.516,  -32.3,    1.0289, 3,     251.18,   86.2,    1.0483, 0, 0, 0, 0
"3104547", 0.415, 1,     251.85,  -32.1,    1.0511, 3,    252.672,   86.8,    1.0546, 0, 0, 0, 0
"3106029", 0.415, 1,    252.404,  -32.2,    1.0534, 3,    253.672,   86.8,    1.0587, 0, 0, 0, 0
"3104576", 0.415, 1,    259.362,  -32.4,    1.0825, 3,      259.7,   87.6,    1.0839, 0, 0, 0, 0
"3105290", 0.415, 1,     260.25,  -32.4,    1.0862, 2,    263.362, -150.1,    1.0992, 3,    260.284,   87.7,    1.0863
"3104592", 0.415, 1,    251.621,  -32.2,    1.0502, 3,    253.089,   86.7,    1.0563, 0, 0, 0, 0
"3106055", 0.415, 1,    250.935,  -32.2,    1.0473, 3,    252.267,   86.7,    1.0529, 0, 0, 0, 0
"3104818", 0.415, 1,    248.359,  -32.3,    1.0366, 3,    252.197,   86.4,    1.0526, 0, 0, 0, 0
"3104650", 0.415, 1,    246.358,  -32.3,    1.0282, 3,    251.101,   86.2,     1.048, 0, 0, 0, 0
"3104697", 0.415, 1,    247.596,  -32.3,    1.0334, 3,    251.395,   86.3,    1.0492, 0, 0, 0, 0
"3106098", 0.415, 1,    246.637,  -32.2,    1.0294, 3,     250.42,   86.2,    1.0452, 0, 0, 0, 0
"3106099", 0.415, 1,    247.149,  -32.2,    1.0315, 3,    250.795,   86.3,    1.0467, 0, 0, 0, 0
"3106106", 0.415, 1,    244.135,  -32.3,    1.0189, 3,    250.204,   85.9,    1.0443, 0, 0, 0, 0
"3104834", 0.415, 1,     243.77,  -32.3,    1.0174, 3,    250.033,   85.9,    1.0435, 0, 0, 0, 0
"3104849", 0.415, 1,    254.132,  -32.3,    1.0607, 3,     255.17,   87.0,     1.065, 0, 0, 0, 0
"3106173", 0.415, 1,    253.976,  -32.3,      1.06, 3,    255.005,   87.0,    1.0643, 0, 0, 0, 0
"3104390", 0.415, 1,    253.717,  -32.3,    1.0589, 3,    254.657,   87.0,    1.0628, 0, 0, 0, 0
"3106210", 0.415, 1,    253.568,  -32.2,    1.0583, 3,    254.535,   87.0,    1.0623, 0, 0, 0, 0
