37702,15441658.667234616,-4142551.2861341806
37703,15441658.667234616,-4142560.7005879623
37704,15441664.685512636,-4142598.346302248
37705,15441658.667234616,-4142598.346302248
37706,15441658.667234616,-4142588.933193004
37707,15441658.667234616,-4142579.5214282987
37708,15441658.667234616,-4142570.1110081305
37709,15441651.645910261,-4142570.1110081305
37714,15441595.475315426,-4142570.1110081305
37715,15441602.496639779,-4142570.1110081305
37716,15441609.517964134,-4142570.1110081305
37717,15441616.53928849,-4142570.1110081305
37718,15441623.560612844,-4142570.1110081305
37719,15441630.581937198,-4142570.1110081305
37720,15441637.603261553,-4142570.1096635927
37721,15441644.624585908,-4142570.1110081305
37722,15441644.624585908,-4142579.5214282987
37723,15441644.624585908,-4142598.2562182145
37724,15441644.399585908,-4142590.137226618
