Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"N134846", 0.433, 1,    249.993,    0.0,         1, 2,    249.993, -120.0,         1, 3,    249.993,  120.0,         1, 0, 0, 0, 0
"N134847", 0.433, 1,     249.99,    0.0,   0.99999, 2,     249.99, -120.0,   0.99999, 3,     249.99,  120.0,   0.99999, 0, 0, 0, 0
"N134848", 0.433, 1,     249.99,    0.0,   0.99999, 2,     249.99, -120.0,   0.99999, 3,     249.99,  120.0,   0.99999, 4,          0,    0.0,         0
"N134849", 0.433, 1,     249.99,    0.0,   0.99999, 2,     249.99, -120.0,   0.99999, 3,     249.99,  120.0,   0.99999, 0, 0, 0, 0
"N605863", 0.433, 1,     249.99,    0.0,   0.99999, 2,     249.99, -120.0,   0.99999, 3,     249.99,  120.0,   0.99999, 0, 0, 0, 0
