,Bus1,Bus2,C0,C1,CMatrix,EmergAmps,Geometry,Length,LineCode,Name,NormAmps,NumCust,Parent,Phases,R0,R1,Rg,Rho,RMatrix,Spacing,TotalCust,Units,X0,X1,Xg,XMatrix,Yprim,Idx,IsSwitch,SeasonRating
line_75612283_3103460_3100704,3100704.2,3103460.2,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.03759999847412109,1p_code2,line_75612283_3103460_3100704,400.0,0,0,1,1.247,1.247,0.01805,100.0,[1.247],,1,3,0.2494,0.2494,0.155081,[0.24939999999999998],"[20.132321918627802, -4.777863004760498, -20.132321918627802, 4.7778630047612065, -20.132321918627802, 4.7778630047612065, 20.132321918627802, -4.777863004760498]",1,False,400.0
line_75612300_3100704_3100721,3100721.2,3100704.2,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.038900001525878906,1p_code0,line_75612300_3100704_3100721,400.0,0,0,1,0.32,0.32,0.01805,100.0,[0.31999999999999995],,0,3,0.063,0.063,0.155081,[0.063],"[75.5795562199598, -17.076928797172336, -75.5795562199598, 17.076928797173068, -75.5795562199598, 17.076928797173068, 75.5795562199598, -17.076928797172336]",2,False,400.0
line_75613848_3100721_3101942,3101942.2,3100721.2,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.04129999923706055,1p_code0,line_75613848_3100721_3101942,400.0,0,0,1,0.32,0.32,0.01805,100.0,[0.31999999999999995],,0,3,0.063,0.063,0.155081,[0.063],"[71.18752800468427, -16.084565824185844, -71.18752800468427, 16.084565824186623, -71.18752800468427, 16.084565824186623, 71.18752800468427, -16.084565824185844]",3,False,400.0
line_75614133_3104403_3100704,3100704.2,3104403.2,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.026799999237060546,1p_code2,line_75614133_3104403_3100704,400.0,0,0,1,1.247,1.247,0.01805,100.0,[1.247],,0,3,0.2494,0.2494,0.155081,[0.24939999999999998],"[28.245346827254085, -6.703270403087942, -28.245346827254085, 6.703270403088448, -28.245346827254085, 6.703270403088448, 28.245346827254085, -6.703270403087942]",4,False,400.0
line_75614231_3104455_3102185,3102185.1.2.3,3104455.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.08380000305175782,3p_code1,line_75614231_3104455_3102185,400.0,0,0,3,1e-05,0.32,0.01805,100.0,"[0.21333666666666665, -0.10666333333333333, -0.10666333333333333, -0.10666333333333333, 0.21333666666666665, -0.10666333333333333, -0.10666333333333333, -0.10666333333333333, 0.21333666666666665]",,0,3,1e-05,0.063,0.155081,"[0.04200333333333334, -0.020996666666666667, -0.020996666666666667, -0.020996666666666667, 0.04200333333333334, -0.020996666666666667, -0.020996666666666667, -0.020996666666666667, 0.04200333333333334]","[273.1516934041952, 165.57908949166335, 237.8318682403438, 173.92339818662163, 237.8318682403438, 173.92339818662163, -273.1516934041952, -165.57908949166176, -237.8318682403438, -173.92339818662163, -237.8318682403438, -173.92339818662163, 237.8318682403438, 173.92339818662163, 273.15169340419516, 165.5790894916633, 237.83186824034377, 173.9233981866216, -237.8318682403438, -173.92339818662163, -273.15169340419516, -165.5790894916617, -237.83186824034377, -173.9233981866216, 237.8318682403438, 173.92339818662163, 237.83186824034377, 173.9233981866216, 273.15169340419516, 165.5790894916633, -237.8318682403438, -173.92339818662163, -237.83186824034377, -173.9233981866216, -273.15169340419516, -165.5790894916617, -273.1516934041952, -165.57908949166176, -237.8318682403438, -173.92339818662163, -237.8318682403438, -173.92339818662163, 273.1516934041952, 165.57908949166335, 237.8318682403438, 173.92339818662163, 237.8318682403438, 173.92339818662163, -237.8318682403438, -173.92339818662163, -273.15169340419516, -165.5790894916617, -237.83186824034377, -173.9233981866216, 237.8318682403438, 173.92339818662163, 273.15169340419516, 165.5790894916633, 237.83186824034377, 173.9233981866216, -237.8318682403438, -173.92339818662163, -237.83186824034377, -173.9233981866216, -273.15169340419516, -165.5790894916617, 237.8318682403438, 173.92339818662163, 237.83186824034377, 173.9233981866216, 273.15169340419516, 165.5790894916633]",5,False,400.0
line_75615489_3104455_3101942,3101942.1.2.3,3104455.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.06880000305175782,3p_code1,line_75615489_3104455_3101942,400.0,0,0,3,1e-05,0.32,0.01805,100.0,"[0.21333666666666665, -0.10666333333333333, -0.10666333333333333, -0.10666333333333333, 0.21333666666666665, -0.10666333333333333, -0.10666333333333333, -0.10666333333333333, 0.21333666666666665]",,0,3,1e-05,0.063,0.155081,"[0.04200333333333334, -0.020996666666666667, -0.020996666666666667, -0.020996666666666667, 0.04200333333333334, -0.020996666666666667, -0.020996666666666667, -0.020996666666666667, 0.04200333333333334]","[332.70511228966456, 201.67918007605482, 289.68474419038324, 211.8427420395087, 289.68474419038324, 211.84274203950872, -332.70511228966456, -201.6791800760535, -289.68474419038324, -211.8427420395087, -289.68474419038324, -211.84274203950872, 289.68474419038324, 211.8427420395087, 332.7051122896645, 201.67918007605476, 289.68474419038324, 211.8427420395087, -289.68474419038324, -211.8427420395087, -332.7051122896645, -201.67918007605346, -289.68474419038324, -211.8427420395087, 289.68474419038324, 211.84274203950872, 289.68474419038324, 211.8427420395087, 332.7051122896645, 201.67918007605482, -289.68474419038324, -211.84274203950872, -289.68474419038324, -211.8427420395087, -332.7051122896645, -201.6791800760535, -332.70511228966456, -201.6791800760535, -289.68474419038324, -211.8427420395087, -289.68474419038324, -211.84274203950872, 332.70511228966456, 201.67918007605482, 289.68474419038324, 211.8427420395087, 289.68474419038324, 211.84274203950872, -289.68474419038324, -211.8427420395087, -332.7051122896645, -201.67918007605346, -289.68474419038324, -211.8427420395087, 289.68474419038324, 211.8427420395087, 332.7051122896645, 201.67918007605476, 289.68474419038324, 211.8427420395087, -289.68474419038324, -211.84274203950872, -289.68474419038324, -211.8427420395087, -332.7051122896645, -201.6791800760535, 289.68474419038324, 211.84274203950872, 289.68474419038324, 211.8427420395087, 332.7051122896645, 201.67918007605482]",6,False,400.0
line_75623762_3106494_3103460,3103460.2,3106494.2,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.017040648361219733,1p_code3,line_75623762_3106494_3103460,400.0,1,7,1,1.247,1.247,0.01805,100.0,[1.247],,1,3,0.2494,0.2494,0.155081,[0.24939999999999998],"[20.132321918627802, -4.777863004760498, -20.132321918627802, 4.7778630047612065, -20.132321918627802, 4.7778630047612065, 20.132321918627802, -4.777863004760498]",7,False,400.0
line_75623967_3106699_3102185,3102185.2,3106699.2,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.0349694563047856,1p_code3,line_75623967_3106699_3102185,400.0,0,0,1,0.7839,0.7839,0.01805,100.0,[0.7839],,0,3,0.0915,0.0915,0.155081,[0.09149999999999998],"[35.65034208630597, -4.858277073337851, -35.65034208630597, 4.85827707333851, -35.65034208630597, 4.85827707333851, 35.65034208630597, -4.858277073337851]",8,False,400.0
