Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS_22000", 22, 1,    12701.7,    0.0,         1, 2,    12701.7, -120.0,         1, 3,    12701.7,  120.0,         1
"3100704", 0.415, 2,    262.122, -151.2,     1.094, 0, 0, 0, 0, 0, 0, 0, 0
"3103460", 0.415, 2,    261.869, -151.2,    1.0929, 0, 0, 0, 0, 0, 0, 0, 0
"3100721", 0.415, 2,     262.25, -151.2,    1.0945, 0, 0, 0, 0, 0, 0, 0, 0
"3101942", 0.415, 1,    263.275,  -30.3,    1.0988, 2,    262.386, -151.2,    1.0951, 3,    263.274,   89.7,    1.0988
"3104403", 0.415, 2,    261.962, -151.2,    1.0933, 0, 0, 0, 0, 0, 0, 0, 0
"3102185", 0.415, 1,    263.228,  -30.3,    1.0986, 2,    262.174, -151.2,    1.0942, 3,    263.219,   89.7,    1.0986
"3104455", 0.415, 1,    263.254,  -30.3,    1.0987, 2,     262.29, -151.2,    1.0947, 3,    263.249,   89.7,    1.0987
"3106494", 0.415, 2,    261.798, -151.2,    1.0926, 0, 0, 0, 0, 0, 0, 0, 0
"3106699", 0.415, 2,    262.002, -151.2,    1.0935, 0, 0, 0, 0, 0, 0, 0, 0
