Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS_11000", 11, 1,    6350.85,    0.0,         1, 2,    6350.83, -120.0,         1, 3,    6350.85,  120.0,         1
"3102652", 0.415, 2,    247.236, -161.4,    1.0319, 0, 0, 0, 0, 0, 0, 0, 0
"3105843", 0.415, 2,     246.99, -161.4,    1.0308, 0, 0, 0, 0, 0, 0, 0, 0
"3102962", 0.415, 1,    152.167,    0.0,   0.63508, 2,    247.555, -161.4,    1.0332, 0, 0, 0, 0
"3105095", 0.415, 2,    246.941, -161.5,    1.0306, 0, 0, 0, 0, 0, 0, 0, 0
"3107301", 0.415, 2,    246.519, -161.5,    1.0289, 0, 0, 0, 0, 0, 0, 0, 0
"3105182", 0.415, 2,    246.846, -161.4,    1.0302, 0, 0, 0, 0, 0, 0, 0, 0
"3108602", 0.415, 2,    246.312, -161.5,     1.028, 0, 0, 0, 0, 0, 0, 0, 0
