,Bus1,Bus2,C0,C1,CMatrix,EmergAmps,Geometry,Length,LineCode,Name,NormAmps,NumCust,Parent,Phases,R0,R1,Rg,Rho,RMatrix,Spacing,TotalCust,Units,X0,X1,Xg,XMatrix,Yprim,Idx,IsSwitch,SeasonRating
line0,n134846.1.2.3,n134847.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.02561,185_sq_mm_cu_3,line0,400.0,0,0,3,0.12,0.119,0.01805,100.0,"[0.11933333333333332, 0.0003333333333333336, 0.0003333333333333336, 0.0003333333333333336, 0.11933333333333332, 0.0003333333333333336, 0.0003333333333333336, 0.0003333333333333336, 0.11933333333333332]",,1,3,0.079,0.08,0.155081,"[0.07966666666666666, -0.0003333333333333336, -0.0003333333333333336, -0.0003333333333333336, 0.07966666666666666, -0.0003333333333333336, -0.0003333333333333336, -0.0003333333333333336, 0.07966666666666666]","[201.32169612396171, -152.84494822941795, 2.552717507378101, 7.506496704968854, 2.5527175073781017, 7.506496704968854, -201.32169612396171, 152.84494822941795, -2.552717507378101, -7.506496704968854, -2.5527175073781017, -7.506496704968854, 2.552717507378101, 7.506496704968854, 201.3216961239617, -152.84494822941795, 2.5527175073781017, 7.506496704968854, -2.552717507378101, -7.506496704968854, -201.3216961239617, 152.84494822941795, -2.5527175073781017, -7.506496704968854, 2.5527175073781017, 7.506496704968854, 2.5527175073781017, 7.506496704968854, 201.3216961239617, -152.84494822941795, -2.5527175073781017, -7.506496704968854, -2.5527175073781017, -7.506496704968854, -201.3216961239617, 152.84494822941795, -201.32169612396171, 152.84494822941795, -2.552717507378101, -7.506496704968854, -2.5527175073781017, -7.506496704968854, 201.32169612396171, -152.84494822941795, 2.552717507378101, 7.506496704968854, 2.5527175073781017, 7.506496704968854, -2.552717507378101, -7.506496704968854, -201.3216961239617, 152.84494822941795, -2.5527175073781017, -7.506496704968854, 2.552717507378101, 7.506496704968854, 201.3216961239617, -152.84494822941795, 2.5527175073781017, 7.506496704968854, -2.5527175073781017, -7.506496704968854, -2.5527175073781017, -7.506496704968854, -201.3216961239617, 152.84494822941795, 2.5527175073781017, 7.506496704968854, 2.5527175073781017, 7.506496704968854, 201.3216961239617, -152.84494822941795]",1,False,400.0
line1,n134847.1.2.3,n134848.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.001,twin_95al_abc_3,line1,400.0,1,2,3,0.12,0.119,0.01805,100.0,"[0.11933333333333332, 0.0003333333333333336, 0.0003333333333333336, 0.0003333333333333336, 0.11933333333333332, 0.0003333333333333336, 0.0003333333333333336, 0.0003333333333333336, 0.11933333333333332]",,1,3,0.079,0.08,0.155081,"[0.07966666666666666, -0.0003333333333333336, -0.0003333333333333336, -0.0003333333333333336, 0.07966666666666666, -0.0003333333333333336, -0.0003333333333333336, -0.0003333333333333336, 0.07966666666666666]","[201.32169612396171, -152.84494822941795, 2.552717507378101, 7.506496704968854, 2.5527175073781017, 7.506496704968854, -201.32169612396171, 152.84494822941795, -2.552717507378101, -7.506496704968854, -2.5527175073781017, -7.506496704968854, 2.552717507378101, 7.506496704968854, 201.3216961239617, -152.84494822941795, 2.5527175073781017, 7.506496704968854, -2.552717507378101, -7.506496704968854, -201.3216961239617, 152.84494822941795, -2.5527175073781017, -7.506496704968854, 2.5527175073781017, 7.506496704968854, 2.5527175073781017, 7.506496704968854, 201.3216961239617, -152.84494822941795, -2.5527175073781017, -7.506496704968854, -2.5527175073781017, -7.506496704968854, -201.3216961239617, 152.84494822941795, -201.32169612396171, 152.84494822941795, -2.552717507378101, -7.506496704968854, -2.5527175073781017, -7.506496704968854, 201.32169612396171, -152.84494822941795, 2.552717507378101, 7.506496704968854, 2.5527175073781017, 7.506496704968854, -2.552717507378101, -7.506496704968854, -201.3216961239617, 152.84494822941795, -2.5527175073781017, -7.506496704968854, 2.552717507378101, 7.506496704968854, 201.3216961239617, -152.84494822941795, 2.5527175073781017, 7.506496704968854, -2.5527175073781017, -7.506496704968854, -2.5527175073781017, -7.506496704968854, -201.3216961239617, 152.84494822941795, 2.5527175073781017, 7.506496704968854, 2.5527175073781017, 7.506496704968854, 201.3216961239617, -152.84494822941795]",2,False,400.0
line2,n134848.1.2.3,n134849.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.039060000000000004,twin_95al_abc_3,line2,400.0,0,3,3,0.199,0.199,0.01805,100.0,"[0.19899999999999998, 0.0, 0.0, 0.0, 0.19899999999999998, 0.0, 0.0, 0.0, 0.19899999999999998]",,1,3,0.043,0.043,0.155081,"[0.043, 0.0, 0.0, 0.0, 0.043, 0.0, 0.0, 0.0, 0.043]","[4660.255493501962, -1134.0583995354657, -48.292484945665336, 86.85152854442136, -48.29248494566534, 86.85152854442137, -4660.255493501962, 1134.0583995354657, 48.292484945665336, -86.85152854442136, 48.29248494566534, -86.85152854442137, -48.292484945665336, 86.85152854442136, 4660.2554935019625, -1134.0583995354657, -48.292484945665336, 86.85152854442138, 48.292484945665336, -86.85152854442136, -4660.2554935019625, 1134.0583995354657, 48.292484945665336, -86.85152854442138, -48.29248494566534, 86.85152854442137, -48.292484945665336, 86.85152854442138, 4660.2554935019625, -1134.0583995354662, 48.29248494566534, -86.85152854442137, 48.292484945665336, -86.85152854442138, -4660.2554935019625, 1134.0583995354662, -4660.255493501962, 1134.0583995354657, 48.292484945665336, -86.85152854442136, 48.29248494566534, -86.85152854442137, 4660.255493501962, -1134.0583995354657, -48.292484945665336, 86.85152854442136, -48.29248494566534, 86.85152854442137, 48.292484945665336, -86.85152854442136, -4660.2554935019625, 1134.0583995354657, 48.292484945665336, -86.85152854442138, -48.292484945665336, 86.85152854442136, 4660.2554935019625, -1134.0583995354657, -48.292484945665336, 86.85152854442138, 48.29248494566534, -86.85152854442137, 48.292484945665336, -86.85152854442138, -4660.2554935019625, 1134.0583995354662, -48.29248494566534, 86.85152854442137, -48.292484945665336, 86.85152854442138, 4660.2554935019625, -1134.0583995354662]",3,False,400.0
line3,n134849.1.2.3,n605863.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.00215,95al_abc_3,line3,400.0,0,4,3,0.199,0.199,0.01805,100.0,"[0.19899999999999998, 0.0, 0.0, 0.0, 0.19899999999999998, 0.0, 0.0, 0.0, 0.19899999999999998]",,0,3,0.043,0.043,0.155081,"[0.043, 0.0, 0.0, 0.0, 0.043, 0.0, 0.0, 0.0, 0.043]","[119.31017648494526, -29.033753188311977, -1.236366742080526, 2.22354143738918, -1.2363667420805264, 2.2235414373891804, -119.31017648494526, 29.033753188311977, 1.236366742080526, -2.22354143738918, 1.2363667420805264, -2.2235414373891804, -1.236366742080526, 2.22354143738918, 119.31017648494526, -29.033753188311973, -1.2363667420805267, 2.22354143738918, 1.236366742080526, -2.22354143738918, -119.31017648494526, 29.033753188311973, 1.2363667420805267, -2.22354143738918, -1.2363667420805264, 2.2235414373891804, -1.2363667420805267, 2.22354143738918, 119.31017648494527, -29.033753188311977, 1.2363667420805264, -2.2235414373891804, 1.2363667420805267, -2.22354143738918, -119.31017648494527, 29.033753188311977, -119.31017648494526, 29.033753188311977, 1.236366742080526, -2.22354143738918, 1.2363667420805264, -2.2235414373891804, 119.31017648494526, -29.033753188311977, -1.236366742080526, 2.22354143738918, -1.2363667420805264, 2.2235414373891804, 1.236366742080526, -2.22354143738918, -119.31017648494526, 29.033753188311973, 1.2363667420805267, -2.22354143738918, -1.236366742080526, 2.22354143738918, 119.31017648494526, -29.033753188311973, -1.2363667420805267, 2.22354143738918, 1.2363667420805264, -2.2235414373891804, 1.2363667420805267, -2.22354143738918, -119.31017648494527, 29.033753188311977, -1.2363667420805264, 2.2235414373891804, -1.2363667420805267, 2.22354143738918, 119.31017648494527, -29.033753188311977]",4,False,400.0
