Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"N445064", 0.433, 1,    249.993,    0.0,         1, 2,    249.993, -120.0,         1, 3,    249.993,  120.0,         1, 0, 0, 0, 0
"N445065", 0.433, 1,    249.799,    0.0,   0.99923, 2,    249.799, -120.0,   0.99923, 3,    249.799,  120.0,   0.99923, 0, 0, 0, 0
"N445066", 0.433, 1,     249.79,    0.0,   0.99919, 2,     249.79, -120.0,   0.99919, 3,     249.79,  120.0,   0.99919, 0, 0, 0, 0
"N445068", 0.433, 1,    249.402,    0.0,   0.99764, 2,    249.402, -120.0,   0.99764, 3,    249.402,  120.0,   0.99764, 4,          0,    0.0,         0
"N445067", 0.433, 1,     249.79,    0.0,   0.99919, 2,     249.79, -120.0,   0.99919, 3,     249.79,  120.0,   0.99919, 0, 0, 0, 0
"N732629", 0.433, 1,     249.79,    0.0,   0.99919, 2,     249.79, -120.0,   0.99919, 3,     249.79,  120.0,   0.99919, 0, 0, 0, 0
"N445069", 0.433, 1,    249.402,    0.0,   0.99764, 2,    249.402, -120.0,   0.99764, 3,    249.402,  120.0,   0.99764, 0, 0, 0, 0
"N732630", 0.433, 1,    249.402,    0.0,   0.99764, 2,    249.402, -120.0,   0.99764, 3,    249.402,  120.0,   0.99764, 0, 0, 0, 0
