,Bus1,Bus2,C0,C1,CMatrix,EmergAmps,Geometry,Length,LineCode,Name,NormAmps,NumCust,Parent,Phases,R0,R1,Rg,Rho,RMatrix,Spacing,TotalCust,Units,X0,X1,Xg,XMatrix,Yprim,Idx,IsSwitch,SeasonRating
line0,n445064.1.2.3,n445065.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.04279,lv_240al_xlpe_3,line0,400.0,0,0,3,0.265,0.279,0.01805,100.0,"[0.2743333333333333, -0.0046666666666666705, -0.0046666666666666705, -0.0046666666666666705, 0.2743333333333333, -0.0046666666666666705, -0.0046666666666666705, -0.0046666666666666705, 0.2743333333333333]",,26,3,0.062,0.062,0.155081,"[0.062, 0.0, 0.0, 0.0, 0.062, 0.0, 0.0, 0.0, 0.062]","[78.80524823109747, -20.37665322075619, 0.603045550319713, 0.47726749411787683, 0.6030455503197127, 0.47726749411787667, -78.80524823109747, 20.37665322075619, -0.603045550319713, -0.47726749411787683, -0.6030455503197127, -0.47726749411787667, 0.603045550319713, 0.47726749411787683, 78.8052482310975, -20.376653220756197, 0.603045550319713, 0.47726749411787683, -0.603045550319713, -0.47726749411787683, -78.8052482310975, 20.376653220756197, -0.603045550319713, -0.47726749411787683, 0.6030455503197127, 0.47726749411787667, 0.603045550319713, 0.47726749411787683, 78.80524823109747, -20.376653220756193, -0.6030455503197127, -0.47726749411787667, -0.603045550319713, -0.47726749411787683, -78.80524823109747, 20.376653220756193, -78.80524823109747, 20.37665322075619, -0.603045550319713, -0.47726749411787683, -0.6030455503197127, -0.47726749411787667, 78.80524823109747, -20.37665322075619, 0.603045550319713, 0.47726749411787683, 0.6030455503197127, 0.47726749411787667, -0.603045550319713, -0.47726749411787683, -78.8052482310975, 20.376653220756197, -0.603045550319713, -0.47726749411787683, 0.603045550319713, 0.47726749411787683, 78.8052482310975, -20.376653220756197, 0.603045550319713, 0.47726749411787683, -0.6030455503197127, -0.47726749411787667, -0.603045550319713, -0.47726749411787683, -78.80524823109747, 20.376653220756193, 0.6030455503197127, 0.47726749411787667, 0.603045550319713, 0.47726749411787683, 78.80524823109747, -20.376653220756193]",1,False,400.0
line1,n445065.1.2.3,n445066.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.001,66_hdcu_(19/2.11)_3,line1,400.0,0,2,3,0.265,0.279,0.01805,100.0,"[0.2743333333333333, -0.0046666666666666705, -0.0046666666666666705, -0.0046666666666666705, 0.2743333333333333, -0.0046666666666666705, -0.0046666666666666705, -0.0046666666666666705, 0.2743333333333333]",,26,3,0.062,0.062,0.155081,"[0.062, 0.0, 0.0, 0.0, 0.062, 0.0, 0.0, 0.0, 0.062]","[78.80524823109747, -20.37665322075619, 0.603045550319713, 0.47726749411787683, 0.6030455503197127, 0.47726749411787667, -78.80524823109747, 20.37665322075619, -0.603045550319713, -0.47726749411787683, -0.6030455503197127, -0.47726749411787667, 0.603045550319713, 0.47726749411787683, 78.8052482310975, -20.376653220756197, 0.603045550319713, 0.47726749411787683, -0.603045550319713, -0.47726749411787683, -78.8052482310975, 20.376653220756197, -0.603045550319713, -0.47726749411787683, 0.6030455503197127, 0.47726749411787667, 0.603045550319713, 0.47726749411787683, 78.80524823109747, -20.376653220756193, -0.6030455503197127, -0.47726749411787667, -0.603045550319713, -0.47726749411787683, -78.80524823109747, 20.376653220756193, -78.80524823109747, 20.37665322075619, -0.603045550319713, -0.47726749411787683, -0.6030455503197127, -0.47726749411787667, 78.80524823109747, -20.37665322075619, 0.603045550319713, 0.47726749411787683, 0.6030455503197127, 0.47726749411787667, -0.603045550319713, -0.47726749411787683, -78.8052482310975, 20.376653220756197, -0.603045550319713, -0.47726749411787683, 0.603045550319713, 0.47726749411787683, 78.8052482310975, -20.376653220756197, 0.603045550319713, 0.47726749411787683, -0.6030455503197127, -0.47726749411787667, -0.603045550319713, -0.47726749411787683, -78.80524823109747, 20.376653220756193, 0.6030455503197127, 0.47726749411787667, 0.603045550319713, 0.47726749411787683, 78.80524823109747, -20.376653220756193]",2,False,400.0
line2,n445066.1.2.3,n445068.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.041350000000000005,66_hdcu_(19/2.11)_3,line2,400.0,26,3,3,0.302,0.302,0.01805,100.0,"[0.30199999999999994, 0.0, 0.0, 0.0, 0.30199999999999994, 0.0, 0.0, 0.0, 0.30199999999999994]",,26,3,0.359,0.359,0.155081,"[0.359, 0.0, 0.0, 0.0, 0.359, 0.0, 0.0, 0.0, 0.359]","[1103.7040048728597, -1546.8828503226057, 12.634531349286364, 9.516915220293308, 12.634531349286368, 9.516915220293312, -1103.7040048728597, 1546.8828503226057, -12.634531349286364, -9.516915220293308, -12.634531349286368, -9.516915220293312, 12.634531349286364, 9.516915220293308, 1103.7040048728595, -1546.8828503226055, 12.634531349286364, 9.51691522029331, -12.634531349286364, -9.516915220293308, -1103.7040048728595, 1546.8828503226055, -12.634531349286364, -9.51691522029331, 12.634531349286368, 9.516915220293312, 12.634531349286364, 9.51691522029331, 1103.7040048728597, -1546.882850322606, -12.634531349286368, -9.516915220293312, -12.634531349286364, -9.51691522029331, -1103.7040048728597, 1546.882850322606, -1103.7040048728597, 1546.8828503226057, -12.634531349286364, -9.516915220293308, -12.634531349286368, -9.516915220293312, 1103.7040048728597, -1546.8828503226057, 12.634531349286364, 9.516915220293308, 12.634531349286368, 9.516915220293312, -12.634531349286364, -9.516915220293308, -1103.7040048728595, 1546.8828503226055, -12.634531349286364, -9.51691522029331, 12.634531349286364, 9.516915220293308, 1103.7040048728595, -1546.8828503226055, 12.634531349286364, 9.51691522029331, -12.634531349286368, -9.516915220293312, -12.634531349286364, -9.51691522029331, -1103.7040048728597, 1546.882850322606, 12.634531349286368, 9.516915220293312, 12.634531349286364, 9.51691522029331, 1103.7040048728597, -1546.882850322606]",3,False,400.0
line3,n445066.1.2.3,n445067.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.02072,66_hdcu_(19/2.11)_3,line3,400.0,0,4,3,0.302,0.302,0.01805,100.0,"[0.30199999999999994, 0.0, 0.0, 0.0, 0.30199999999999994, 0.0, 0.0, 0.0, 0.30199999999999994]",,26,3,0.359,0.359,0.155081,"[0.359, 0.0, 0.0, 0.0, 0.359, 0.0, 0.0, 0.0, 0.359]","[1103.7040048728597, -1546.8828503226057, 12.634531349286364, 9.516915220293308, 12.634531349286368, 9.516915220293312, -1103.7040048728597, 1546.8828503226057, -12.634531349286364, -9.516915220293308, -12.634531349286368, -9.516915220293312, 12.634531349286364, 9.516915220293308, 1103.7040048728595, -1546.8828503226055, 12.634531349286364, 9.51691522029331, -12.634531349286364, -9.516915220293308, -1103.7040048728595, 1546.8828503226055, -12.634531349286364, -9.51691522029331, 12.634531349286368, 9.516915220293312, 12.634531349286364, 9.51691522029331, 1103.7040048728597, -1546.882850322606, -12.634531349286368, -9.516915220293312, -12.634531349286364, -9.51691522029331, -1103.7040048728597, 1546.882850322606, -1103.7040048728597, 1546.8828503226057, -12.634531349286364, -9.516915220293308, -12.634531349286368, -9.516915220293312, 1103.7040048728597, -1546.8828503226057, 12.634531349286364, 9.516915220293308, 12.634531349286368, 9.516915220293312, -12.634531349286364, -9.516915220293308, -1103.7040048728595, 1546.8828503226055, -12.634531349286364, -9.51691522029331, 12.634531349286364, 9.516915220293308, 1103.7040048728595, -1546.8828503226055, 12.634531349286364, 9.51691522029331, -12.634531349286368, -9.516915220293312, -12.634531349286364, -9.51691522029331, -1103.7040048728597, 1546.882850322606, 12.634531349286368, 9.516915220293312, 12.634531349286364, 9.51691522029331, 1103.7040048728597, -1546.882850322606]",4,False,400.0
line4,n445067.1.2.3,n732629.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.001,66_hdcu_(19/2.11)_3,line4,400.0,0,5,3,0.302,0.302,0.01805,100.0,"[0.30199999999999994, 0.0, 0.0, 0.0, 0.30199999999999994, 0.0, 0.0, 0.0, 0.30199999999999994]",,0,3,0.359,0.359,0.155081,"[0.359, 0.0, 0.0, 0.0, 0.359, 0.0, 0.0, 0.0, 0.359]","[53.2675678027442, -74.65650822020298, 0.6097746790196121, 0.45931058012998627, 0.6097746790196121, 0.45931058012998627, -53.2675678027442, 74.65650822020298, -0.6097746790196121, -0.45931058012998627, -0.6097746790196121, -0.45931058012998627, 0.6097746790196121, 0.45931058012998627, 53.26756780274421, -74.65650822020298, 0.6097746790196122, 0.45931058012998627, -0.6097746790196121, -0.45931058012998627, -53.26756780274421, 74.65650822020298, -0.6097746790196122, -0.45931058012998627, 0.6097746790196121, 0.45931058012998627, 0.6097746790196122, 0.45931058012998627, 53.26756780274421, -74.65650822020298, -0.6097746790196121, -0.45931058012998627, -0.6097746790196122, -0.45931058012998627, -53.26756780274421, 74.65650822020298, -53.2675678027442, 74.65650822020298, -0.6097746790196121, -0.45931058012998627, -0.6097746790196121, -0.45931058012998627, 53.2675678027442, -74.65650822020298, 0.6097746790196121, 0.45931058012998627, 0.6097746790196121, 0.45931058012998627, -0.6097746790196121, -0.45931058012998627, -53.26756780274421, 74.65650822020298, -0.6097746790196122, -0.45931058012998627, 0.6097746790196121, 0.45931058012998627, 53.26756780274421, -74.65650822020298, 0.6097746790196122, 0.45931058012998627, -0.6097746790196121, -0.45931058012998627, -0.6097746790196122, -0.45931058012998627, -53.26756780274421, 74.65650822020298, 0.6097746790196121, 0.45931058012998627, 0.6097746790196122, 0.45931058012998627, 53.26756780274421, -74.65650822020298]",5,False,400.0
line5,n445068.1.2.3,n445069.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.044700000000000004,66_hdcu_(19/2.11)_3,line5,400.0,0,6,3,0.302,0.302,0.01805,100.0,"[0.30199999999999994, 0.0, 0.0, 0.0, 0.30199999999999994, 0.0, 0.0, 0.0, 0.30199999999999994]",,26,3,0.359,0.359,0.155081,"[0.359, 0.0, 0.0, 0.0, 0.359, 0.0, 0.0, 0.0, 0.359]","[26.691753443116312, -37.40950061239675, 0.30555093952324935, 0.23015514438436058, 0.30555093952324935, 0.23015514438436058, -26.691753443116312, 37.40950061239675, -0.30555093952324935, -0.23015514438436058, -0.30555093952324935, -0.23015514438436058, 0.30555093952324935, 0.23015514438436058, 26.691753443116315, -37.40950061239675, 0.3055509395232493, 0.23015514438436063, -0.30555093952324935, -0.23015514438436058, -26.691753443116315, 37.40950061239675, -0.3055509395232493, -0.23015514438436063, 0.30555093952324935, 0.23015514438436058, 0.3055509395232493, 0.23015514438436063, 26.691753443116312, -37.40950061239674, -0.30555093952324935, -0.23015514438436058, -0.3055509395232493, -0.23015514438436063, -26.691753443116312, 37.40950061239674, -26.691753443116312, 37.40950061239675, -0.30555093952324935, -0.23015514438436058, -0.30555093952324935, -0.23015514438436058, 26.691753443116312, -37.40950061239675, 0.30555093952324935, 0.23015514438436058, 0.30555093952324935, 0.23015514438436058, -0.30555093952324935, -0.23015514438436058, -26.691753443116315, 37.40950061239675, -0.3055509395232493, -0.23015514438436063, 0.30555093952324935, 0.23015514438436058, 26.691753443116315, -37.40950061239675, 0.3055509395232493, 0.23015514438436063, -0.30555093952324935, -0.23015514438436058, -0.3055509395232493, -0.23015514438436063, -26.691753443116312, 37.40950061239674, 0.30555093952324935, 0.23015514438436058, 0.3055509395232493, 0.23015514438436063, 26.691753443116312, -37.40950061239674]",6,False,400.0
line6,n445069.1.2.3,n732630.1.2.3,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",600.0,,0.001,66_hdcu_(19/2.11)_3,line6,400.0,0,7,3,0.302,0.302,0.01805,100.0,"[0.30199999999999994, 0.0, 0.0, 0.0, 0.30199999999999994, 0.0, 0.0, 0.0, 0.30199999999999994]",,0,3,0.359,0.359,0.155081,"[0.359, 0.0, 0.0, 0.0, 0.359, 0.0, 0.0, 0.0, 0.359]","[24.691364762256367, -34.605880320416226, 0.28265170803772616, 0.2129063807671881, 0.28265170803772616, 0.21290638076718815, -24.691364762256367, 34.605880320416226, -0.28265170803772616, -0.2129063807671881, -0.28265170803772616, -0.21290638076718815, 0.28265170803772616, 0.2129063807671881, 24.69136476225637, -34.60588032041623, 0.28265170803772616, 0.2129063807671882, -0.28265170803772616, -0.2129063807671881, -24.69136476225637, 34.60588032041623, -0.28265170803772616, -0.2129063807671882, 0.28265170803772616, 0.21290638076718815, 0.28265170803772616, 0.2129063807671882, 24.69136476225637, -34.605880320416226, -0.28265170803772616, -0.21290638076718815, -0.28265170803772616, -0.2129063807671882, -24.69136476225637, 34.605880320416226, -24.691364762256367, 34.605880320416226, -0.28265170803772616, -0.2129063807671881, -0.28265170803772616, -0.21290638076718815, 24.691364762256367, -34.605880320416226, 0.28265170803772616, 0.2129063807671881, 0.28265170803772616, 0.21290638076718815, -0.28265170803772616, -0.2129063807671881, -24.69136476225637, 34.60588032041623, -0.28265170803772616, -0.2129063807671882, 0.28265170803772616, 0.2129063807671881, 24.69136476225637, -34.60588032041623, 0.28265170803772616, 0.2129063807671882, -0.28265170803772616, -0.21290638076718815, -0.28265170803772616, -0.2129063807671882, -24.69136476225637, 34.605880320416226, 0.28265170803772616, 0.21290638076718815, 0.28265170803772616, 0.2129063807671882, 24.69136476225637, -34.605880320416226]",7,False,400.0
