Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS_22000", 22, 1,    12701.3,    0.0,   0.99997, 2,    12701.6, -120.0,   0.99999, 3,    12701.3,  120.0,   0.99997
"3104670", 0.415, 1,    246.056,  -39.5,    1.0269, 2,    258.237, -153.0,    1.0778, 3,    248.003,   81.1,    1.0351
"3110243", 0.415, 1,      245.7,  -39.5,    1.0255, 3,    247.622,   81.1,    1.0335, 0, 0, 0, 0
"3110210", 0.415, 1,    245.396,  -39.5,    1.0242, 3,    247.304,   81.0,    1.0322, 0, 0, 0, 0
"3110265", 0.415, 1,    245.363,  -39.5,    1.0241, 3,    247.285,   81.0,    1.0321, 0, 0, 0, 0
"3110211", 0.415, 1,    245.545,  -39.5,    1.0248, 3,    247.424,   81.1,    1.0327, 0, 0, 0, 0
"3103277", 0.415, 1,    244.109,  -40.0,    1.0188, 2,    257.781, -152.3,    1.0759, 3,    251.004,   81.0,    1.0476
"3103775", 0.415, 1,    245.177,  -39.8,    1.0233, 2,     258.33, -152.4,    1.0782, 3,     251.07,   81.2,    1.0479
"3103286", 0.415, 1,    247.152,  -39.4,    1.0315, 2,    258.783, -152.9,    1.0801, 3,    249.055,   81.3,    1.0395
"3103339", 0.415, 3,      250.4,   80.9,    1.0451, 0, 0, 0, 0, 0, 0, 0, 0
"3106001", 0.415, 1,    243.194,  -39.9,     1.015, 2,    257.563, -152.2,     1.075, 3,    250.667,   80.9,    1.0462
"3103384", 0.415, 1,    248.574,  -39.4,    1.0375, 2,    259.123, -152.8,    1.0815, 3,      250.1,   81.6,    1.0438
"3106938", 0.415, 1,    248.505,  -39.4,    1.0372, 2,    258.925, -152.8,    1.0807, 3,    249.906,   81.6,     1.043
"3103411", 0.415, 1,    250.977,  -39.2,    1.0475, 2,    260.879, -152.4,    1.0888, 3,    252.823,   82.1,    1.0552
"3105816", 0.415, 2,    260.812, -152.4,    1.0885, 0, 0, 0, 0, 0, 0, 0, 0
"3103711", 0.415, 1,    248.089,  -39.4,    1.0354, 2,     258.86, -152.8,    1.0804, 3,    249.631,   81.5,    1.0419
"3103774", 0.415, 1,    243.753,  -40.0,    1.0173, 2,    257.569, -152.3,     1.075, 3,    251.004,   81.0,    1.0476
"3106464", 0.415, 1,    243.744,  -40.0,    1.0173, 2,    257.555, -152.3,    1.0749, 3,    250.999,   81.0,    1.0476
"3103906", 0.415, 1,    244.823,  -39.8,    1.0218, 2,    258.204, -152.4,    1.0776, 3,    250.846,   81.1,    1.0469
"3103908", 0.415, 1,     249.13,  -39.3,    1.0398, 2,    259.733, -152.7,     1.084, 3,    250.923,   81.7,    1.0473
"3103795", 0.415, 1,    248.102,  -39.4,    1.0355, 2,    259.237, -152.8,     1.082, 3,    250.002,   81.5,    1.0434
"3107042", 0.415, 1,    244.759,  -39.8,    1.0215, 2,    258.192, -152.4,    1.0776, 3,    250.709,   81.1,    1.0464
"3103907", 0.415, 1,    249.111,  -39.3,    1.0397, 2,    260.088, -152.4,    1.0855, 3,    252.149,   81.8,    1.0524
"3104800", 0.415, 1,     249.07,  -39.3,    1.0395, 3,    252.114,   81.8,    1.0522, 0, 0, 0, 0
"3107648", 0.415, 1,    245.106,  -39.8,     1.023, 0, 0, 0, 0, 0, 0, 0, 0
"3107827", 0.415, 1,    250.681,  -39.2,    1.0462, 0, 0, 0, 0, 0, 0, 0, 0
"3107932", 0.415, 1,    243.446,  -40.0,     1.016, 2,    257.506, -152.3,    1.0747, 3,    250.931,   80.9,    1.0473
"3104611", 0.415, 3,    251.961,   81.8,    1.0516, 0, 0, 0, 0, 0, 0, 0, 0
"3107934", 0.415, 3,    251.817,   81.8,     1.051, 0, 0, 0, 0, 0, 0, 0, 0
