,Bus1,Bus2,C0,C1,CMatrix,EmergAmps,Geometry,Length,LineCode,Name,NormAmps,NumCust,Parent,Phases,R0,R1,Rg,Rho,RMatrix,Spacing,TotalCust,Units,X0,X1,Xg,XMatrix,Yprim,Idx,IsSwitch,SeasonRating
line_75614035_3110243_3104670,3104670.1.3,3110243.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.0585999984741211,2p_code11,line_75614035_3110243_3104670,400.0,0,0,2,1e-05,0.164,0.01805,100.0,"[0.10933666666666667, -0.05466333333333333, -0.05466333333333333, 0.10933666666666667]",,18,3,1e-05,0.062,0.155081,"[0.04133666666666666, -0.020663333333333332, -0.020663333333333332, 0.04133666666666666]","[168.15270164526098, -59.65493447960971, 81.85860589472712, -20.506881285466193, -168.15270164526098, 59.65493447961081, -81.85860589472712, 20.506881285466193, 81.85860589472712, -20.506881285466193, 168.15270164526095, -59.6549344796097, -81.85860589472712, 20.506881285466193, -168.15270164526095, 59.6549344796108, -168.15270164526098, 59.65493447961081, -81.85860589472712, 20.506881285466193, 168.15270164526098, -59.65493447960971, 81.85860589472712, -20.506881285466193, -81.85860589472712, 20.506881285466193, -168.15270164526095, 59.6549344796108, 81.85860589472712, -20.506881285466193, 168.15270164526095, -59.6549344796097]",1,False,400.0
line_75614036_3110265_3110210,3110210.1.3,3110265.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.016700000762939454,2p_code11,line_75614036_3110265_3110210,400.0,0,2,2,1e-05,0.164,0.01805,100.0,"[0.10933666666666667, -0.05466333333333333, -0.05466333333333333, 0.10933666666666667]",,9,3,1e-05,0.062,0.155081,"[0.04133666666666666, -0.020663333333333332, -0.020663333333333332, 0.04133666666666666]","[183.83858843931074, -65.21976061560427, 89.49467009482683, -22.419836683717467, -183.83858843931074, 65.21976061560528, -89.49467009482683, 22.419836683717467, 89.49467009482683, -22.419836683717467, 183.83858843931074, -65.21976061560426, -89.49467009482683, 22.419836683717467, -183.83858843931074, 65.21976061560527, -183.83858843931074, 65.21976061560528, -89.49467009482683, 22.419836683717467, 183.83858843931074, -65.21976061560427, 89.49467009482683, -22.419836683717467, -89.49467009482683, 22.419836683717467, -183.83858843931074, 65.21976061560527, 89.49467009482683, -22.419836683717467, 183.83858843931074, -65.21976061560426]",2,False,400.0
line_75614037_3110210_3110211,3110211.1.3,3110210.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.05359999847412109,2p_code11,line_75614037_3110210_3110211,400.0,0,3,2,1e-05,0.164,0.01805,100.0,"[0.10933666666666667, -0.05466333333333333, -0.05466333333333333, 0.10933666666666667]",,15,3,1e-05,0.062,0.155081,"[0.04133666666666666, -0.020663333333333332, -0.020663333333333332, 0.04133666666666666]","[292.39607824187317, -103.73231425333798, 142.34166385538924, -35.658848214592254, -292.39607824187317, 103.73231425333861, -142.34166385538924, 35.658848214592254, 142.34166385538924, -35.658848214592254, 292.3960782418732, -103.73231425333798, -142.34166385538924, 35.658848214592254, -292.3960782418732, 103.73231425333861, -292.39607824187317, 103.73231425333861, -142.34166385538924, 35.658848214592254, 292.39607824187317, -103.73231425333798, 142.34166385538924, -35.658848214592254, -142.34166385538924, 35.658848214592254, -292.3960782418732, 103.73231425333861, 142.34166385538924, -35.658848214592254, 292.3960782418732, -103.73231425333798]",3,False,400.0
line_75614079_3110211_3110243,3110243.1.3,3110211.1.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0001]",600.0,,0.033700000762939455,2p_code11,line_75614079_3110211_3110243,400.0,0,4,2,1e-05,0.164,0.01805,100.0,"[0.10933666666666667, -0.05466333333333333, -0.05466333333333333, 0.10933666666666667]",,18,3,1e-05,0.062,0.155081,"[0.04133666666666666, -0.020663333333333332, -0.020663333333333332, 0.04133666666666666]","[168.15270164526098, -59.65493447960971, 81.85860589472712, -20.506881285466193, -168.15270164526098, 59.65493447961081, -81.85860589472712, 20.506881285466193, 81.85860589472712, -20.506881285466193, 168.15270164526095, -59.6549344796097, -81.85860589472712, 20.506881285466193, -168.15270164526095, 59.6549344796108, -168.15270164526098, 59.65493447961081, -81.85860589472712, 20.506881285466193, 168.15270164526098, -59.65493447960971, 81.85860589472712, -20.506881285466193, -81.85860589472712, 20.506881285466193, -168.15270164526095, 59.6549344796108, 81.85860589472712, -20.506881285466193, 168.15270164526095, -59.6549344796097]",4,False,400.0
line_75614637_3103775_3103277,3103277.1.2.3,3103775.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.0510999984741211,3p_oh_code1,line_75614637_3103775_3103277,400.0,0,0,3,1e-05,0.4428,0.01805,100.0,"[0.2952033333333333, -0.14759666666666665, -0.14759666666666665, -0.14759666666666665, 0.2952033333333333, -0.14759666666666665, -0.14759666666666665, -0.14759666666666665, 0.2952033333333333]",,0,3,1e-05,0.3782,0.155081,"[0.2521366666666666, -0.1260633333333333, -0.1260633333333333, -0.1260633333333333, 0.2521366666666666, -0.1260633333333333, -0.1260633333333333, -0.1260633333333333, 0.2521366666666666]","[423.70181980894796, 265.93229443445284, 402.1484754510453, 288.0230121476193, 402.1484754510453, 288.02301214761934, -423.70181980894796, -265.9322944344519, -402.1484754510453, -288.0230121476193, -402.1484754510453, -288.02301214761934, 402.1484754510453, 288.0230121476193, 423.7018198089479, 265.9322944344528, 402.1484754510452, 288.0230121476193, -402.1484754510453, -288.0230121476193, -423.7018198089479, -265.9322944344518, -402.1484754510452, -288.0230121476193, 402.1484754510453, 288.02301214761934, 402.1484754510452, 288.0230121476193, 423.70181980894785, 265.93229443445284, -402.1484754510453, -288.02301214761934, -402.1484754510452, -288.0230121476193, -423.70181980894785, -265.9322944344519, -423.70181980894796, -265.9322944344519, -402.1484754510453, -288.0230121476193, -402.1484754510453, -288.02301214761934, 423.70181980894796, 265.93229443445284, 402.1484754510453, 288.0230121476193, 402.1484754510453, 288.02301214761934, -402.1484754510453, -288.0230121476193, -423.7018198089479, -265.9322944344518, -402.1484754510452, -288.0230121476193, 402.1484754510453, 288.0230121476193, 423.7018198089479, 265.9322944344528, 402.1484754510452, 288.0230121476193, -402.1484754510453, -288.02301214761934, -402.1484754510452, -288.0230121476193, -423.70181980894785, -265.9322944344519, 402.1484754510453, 288.02301214761934, 402.1484754510452, 288.0230121476193, 423.70181980894785, 265.93229443445284]",5,False,400.0
line_75614646_3104670_3103286,3103286.1.2.3,3104670.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.037900001525878906,3p_oh_code1,line_75614646_3104670_3103286,400.0,0,0,3,1e-05,0.4428,0.01805,100.0,"[0.2952033333333333, -0.14759666666666665, -0.14759666666666665, -0.14759666666666665, 0.2952033333333333, -0.14759666666666665, -0.14759666666666665, -0.14759666666666665, 0.2952033333333333]",,0,3,1e-05,0.3782,0.155081,"[0.2521366666666666, -0.1260633333333333, -0.1260633333333333, -0.1260633333333333, 0.2521366666666666, -0.1260633333333333, -0.1260633333333333, -0.1260633333333333, 0.2521366666666666]","[571.2707512936554, 358.5524879343615, 542.2107032868239, 388.3370683034224, 542.2107032868238, 388.3370683034224, -571.2707512936554, -358.5524879343608, -542.2107032868239, -388.3370683034224, -542.2107032868238, -388.3370683034224, 542.2107032868239, 388.3370683034224, 571.2707512936556, 358.55248793436175, 542.210703286824, 388.33706830342254, -542.2107032868239, -388.3370683034224, -571.2707512936556, -358.552487934361, -542.210703286824, -388.33706830342254, 542.2107032868238, 388.3370683034224, 542.210703286824, 388.33706830342254, 571.2707512936555, 358.55248793436175, -542.2107032868238, -388.3370683034224, -542.210703286824, -388.33706830342254, -571.2707512936555, -358.552487934361, -571.2707512936554, -358.5524879343608, -542.2107032868239, -388.3370683034224, -542.2107032868238, -388.3370683034224, 571.2707512936554, 358.5524879343615, 542.2107032868239, 388.3370683034224, 542.2107032868238, 388.3370683034224, -542.2107032868239, -388.3370683034224, -571.2707512936556, -358.552487934361, -542.210703286824, -388.33706830342254, 542.2107032868239, 388.3370683034224, 571.2707512936556, 358.55248793436175, 542.210703286824, 388.33706830342254, -542.2107032868238, -388.3370683034224, -542.210703286824, -388.33706830342254, -571.2707512936555, -358.552487934361, 542.2107032868238, 388.3370683034224, 542.210703286824, 388.33706830342254, 571.2707512936555, 358.55248793436175]",6,False,400.0
line_75614706_3106001_3103339,3103339.3,3106001.3,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.04,1p_code0,line_75614706_3106001_3103339,400.0,0,0,1,1.247,1.247,0.01805,100.0,[1.247],,0,3,0.2494,0.2494,0.155081,[0.24939999999999998],"[18.924381835523, -4.491191042213769, -18.924381835523, 4.491191042214523, -18.924381835523, 4.491191042214523, 18.924381835523, -4.491191042213769]",7,False,400.0
line_75614757_3106938_3103384,3103384.1.2.3,3106938.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.04459999847412109,3p_code7,line_75614757_3106938_3103384,400.0,0,0,3,1e-05,0.7839,0.01805,100.0,"[0.5226033333333333, -0.2612966666666667, -0.2612966666666667, -0.2612966666666667, 0.5226033333333333, -0.2612966666666667, -0.2612966666666667, -0.2612966666666667, 0.5226033333333333]",,0,3,1e-05,0.0915,0.155081,"[0.06100333333333333, -0.030496666666666665, -0.030496666666666665, -0.030496666666666665, 0.06100333333333333, -0.030496666666666665, -0.030496666666666665, -0.030496666666666665, 0.06100333333333333]","[487.6905152069086, 318.9432318108631, 459.6383461680506, 322.8724678874876, 459.6383461680506, 322.87246788748763, -487.6905152069086, -318.94323181086224, -459.6383461680506, -322.8724678874876, -459.6383461680506, -322.87246788748763, 459.6383461680506, 322.8724678874876, 487.6905152069087, 318.94323181086315, 459.6383461680507, 322.8724678874877, -459.6383461680506, -322.8724678874876, -487.6905152069087, -318.9432318108623, -459.6383461680507, -322.8724678874877, 459.6383461680506, 322.87246788748763, 459.6383461680507, 322.8724678874877, 487.6905152069087, 318.94323181086315, -459.6383461680506, -322.87246788748763, -459.6383461680507, -322.8724678874877, -487.6905152069087, -318.9432318108623, -487.6905152069086, -318.94323181086224, -459.6383461680506, -322.8724678874876, -459.6383461680506, -322.87246788748763, 487.6905152069086, 318.9432318108631, 459.6383461680506, 322.8724678874876, 459.6383461680506, 322.87246788748763, -459.6383461680506, -322.8724678874876, -487.6905152069087, -318.9432318108623, -459.6383461680507, -322.8724678874877, 459.6383461680506, 322.8724678874876, 487.6905152069087, 318.94323181086315, 459.6383461680507, 322.8724678874877, -459.6383461680506, -322.87246788748763, -459.6383461680507, -322.8724678874877, -487.6905152069087, -318.9432318108623, 459.6383461680506, 322.87246788748763, 459.6383461680507, 322.8724678874877, 487.6905152069087, 318.94323181086315]",8,False,400.0
line_75614792_3105816_3103411,3103411.2,3105816.2,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.013300000190734863,1p_code0,line_75614792_3105816_3103411,400.0,0,0,1,1.247,1.247,0.01805,100.0,[1.247],,0,3,0.2494,0.2494,0.155081,[0.24939999999999998],"[56.91543327557614, -13.507341286635846, -56.91543327557614, 13.507341286636096, -56.91543327557614, 13.507341286636096, 56.91543327557614, -13.507341286635846]",9,False,400.0
line_75615147_3103384_3103711,3103711.1.2.3,3103384.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.054,3p_oh_code1,line_75615147_3103384_3103711,400.0,0,0,3,1e-05,0.4428,0.01805,100.0,"[0.2952033333333333, -0.14759666666666665, -0.14759666666666665, -0.14759666666666665, 0.2952033333333333, -0.14759666666666665, -0.14759666666666665, -0.14759666666666665, 0.2952033333333333]",,0,3,1e-05,0.3782,0.155081,"[0.2521366666666666, -0.1260633333333333, -0.1260633333333333, -0.1260633333333333, 0.2521366666666666, -0.1260633333333333, -0.1260633333333333, -0.1260633333333333, 0.2521366666666666]","[400.9474508466569, 251.65073777444593, 380.55160151700824, 272.55510150472446, 380.5516015170082, 272.5551015047244, -400.9474508466569, -251.6507377744449, -380.55160151700824, -272.55510150472446, -380.5516015170082, -272.5551015047244, 380.55160151700824, 272.55510150472446, 400.9474508466569, 251.65073777444593, 380.5516015170082, 272.5551015047244, -380.55160151700824, -272.55510150472446, -400.9474508466569, -251.6507377744449, -380.5516015170082, -272.5551015047244, 380.5516015170082, 272.5551015047244, 380.5516015170082, 272.5551015047244, 400.9474508466569, 251.65073777444584, -380.5516015170082, -272.5551015047244, -380.5516015170082, -272.5551015047244, -400.9474508466569, -251.65073777444482, -400.9474508466569, -251.6507377744449, -380.55160151700824, -272.55510150472446, -380.5516015170082, -272.5551015047244, 400.9474508466569, 251.65073777444593, 380.55160151700824, 272.55510150472446, 380.5516015170082, 272.5551015047244, -380.55160151700824, -272.55510150472446, -400.9474508466569, -251.6507377744449, -380.5516015170082, -272.5551015047244, 380.55160151700824, 272.55510150472446, 400.9474508466569, 251.65073777444593, 380.5516015170082, 272.5551015047244, -380.5516015170082, -272.5551015047244, -380.5516015170082, -272.5551015047244, -400.9474508466569, -251.65073777444482, 380.5516015170082, 272.5551015047244, 380.5516015170082, 272.5551015047244, 400.9474508466569, 251.65073777444584]",10,False,400.0
