Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"TRAFO_75620917_75620917", 22, 1,    12701.7,    0.0,         1, 2,    12701.7, -120.0,         1, 3,    12701.7,  120.0,         1
"3104670", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3110243", 0.4, 1,          0,    0.0,         0, 3,          0,    0.0,         0, 0, 0, 0, 0
"3110210", 0.4, 1,          0,    0.0,         0, 3,          0,    0.0,         0, 0, 0, 0, 0
"3110265", 0.4, 1,          0,    0.0,         0, 3,          0,    0.0,         0, 0, 0, 0, 0
"3110211", 0.4, 1,          0,    0.0,         0, 3,          0,    0.0,         0, 0, 0, 0, 0
"3103277", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3103775", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3103286", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3103339", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3106001", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3103384", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3106938", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3103411", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3105816", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3103711", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3103774", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3106464", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3103906", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3103908", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3103795", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3107042", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3103907", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3104800", 0.4, 1,          0,    0.0,         0, 3,          0,    0.0,         0, 0, 0, 0, 0
"3107648", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3107827", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3107932", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3104611", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3107934", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3104662", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3107994", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3107995", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3104663", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3107997", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3104664", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3107998", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3108016", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3108017", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3104765", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3108133", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3104779", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3108139", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3108152", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3104927", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3108352", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3108389", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3108455", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3108475", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3108557", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3108573", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3105369", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3108639", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3105381", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3108652", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3108688", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3108861", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3108984", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3105735", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3109027", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3109132", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3106132", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3109490", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3109811", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3109841", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3109897", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3106499", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
"3109941", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110654", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110706", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110707", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110716", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110717", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110718", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110719", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110720", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110721", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110722", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110723", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110724", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110725", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110726", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110727", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110728", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110729", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110750", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110751", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110752", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110753", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110754", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3110755", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111266", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111278", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111279", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111298", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111299", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111318", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111411", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111462", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111503", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111505", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111584", 0.4, 2,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111590", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111664", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111669", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111670", 0.4, 3,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"3111687", 0.4, 1,          0,    0.0,         0, 0, 0, 0, 0, 0, 0, 0, 0
"SOURCEBUS_22000", 0.4, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
