Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS_22000", 22, 1,    12699.6,    0.0,   0.99983, 2,    12699.8, -120.0,   0.99985, 3,    12698.9,  120.0,   0.99978
"3103145", 0.415, 1,    139.121,  -70.3,   0.58064, 2,    194.337, -168.1,   0.81109, 3,    142.825,   49.6,    0.5961
"3103386", 0.415, 1,    136.132,  -70.3,   0.56816, 2,    193.405, -167.8,    0.8072, 3,    141.225,   49.2,   0.58942
"3102287", 0.415, 1,    145.775,  -68.7,   0.60841, 2,     197.16, -169.4,   0.82287, 3,    141.662,   50.6,   0.59124
"3102384", 0.415, 1,    143.824,  -69.5,   0.60026, 2,    192.645, -170.3,   0.80403, 3,    137.139,   49.7,   0.57237
"3102372", 0.415, 1,    157.604,  -66.4,   0.65778, 2,    209.539, -167.4,   0.87453, 3,    156.356,   54.7,   0.65257
"3102542", 0.415, 1,    157.739,  -66.5,   0.65834, 2,    209.705, -167.4,   0.87523, 3,     156.85,   54.7,   0.65463
"3102383", 0.415, 1,    148.062,  -68.4,   0.61795, 2,     200.29, -168.6,   0.83593, 3,      146.5,   51.7,   0.61143
"3102713", 0.415, 1,    144.985,  -69.0,   0.60511, 2,    198.426, -168.4,   0.82815, 3,    145.423,   51.0,   0.60694
"3102702", 0.415, 1,     142.87,  -70.4,   0.59629, 2,    188.065, -171.4,   0.78491, 3,    132.811,   49.1,    0.5543
"3102444", 0.415, 3,      135.9,   49.7,    0.5672, 0, 0, 0, 0, 0, 0, 0, 0
"3102482", 0.415, 3,    154.974,   54.7,    0.6468, 0, 0, 0, 0, 0, 0, 0, 0
"3102519", 0.415, 1,     141.17,  -70.5,   0.58919, 2,    186.063, -172.0,   0.77655, 3,    129.331,   48.2,   0.53978
"3102645", 0.415, 1,    140.988,  -70.5,   0.58843, 2,    186.012, -172.1,   0.77634, 3,    128.991,   48.1,   0.53836
"3102533", 0.415, 1,    153.907,  -66.5,   0.64235, 0, 0, 0, 0, 0, 0, 0, 0
"3102933", 0.415, 1,    152.132,  -66.5,   0.63494, 0, 0, 0, 0, 0, 0, 0, 0
"3102547", 0.415, 1,    142.914,  -69.1,   0.59647, 0, 0, 0, 0, 0, 0, 0, 0
"3102554", 0.415, 1,    141.834,  -70.7,   0.59196, 2,    186.249, -171.8,   0.77733, 3,     130.57,   48.5,   0.54495
"3102563", 0.415, 1,    143.359,  -68.2,   0.59833, 2,    196.448, -170.2,    0.8199, 3,    137.111,   49.4,   0.57225
"3102583", 0.415, 1,    144.472,  -68.4,   0.60297, 2,    196.775, -169.8,   0.82126, 3,    139.207,   50.0,     0.581
"3102962", 0.415, 1,     149.62,  -66.6,   0.62446, 0, 0, 0, 0, 0, 0, 0, 0
"3102970", 0.415, 3,    137.847,   50.0,   0.57532, 0, 0, 0, 0, 0, 0, 0, 0
"3102584", 0.415, 2,     209.11, -167.4,   0.87275, 0, 0, 0, 0, 0, 0, 0, 0
"3102983", 0.415, 3,    153.623,   54.6,   0.64117, 0, 0, 0, 0, 0, 0, 0, 0
"3102986", 0.415, 1,    142.752,  -69.6,   0.59579, 0, 0, 0, 0, 0, 0, 0, 0
"3102618", 0.415, 3,    140.167,   50.6,     0.585, 0, 0, 0, 0, 0, 0, 0, 0
"3103010", 0.415, 3,    138.712,   50.0,   0.57893, 0, 0, 0, 0, 0, 0, 0, 0
"3103037", 0.415, 3,    127.415,   48.0,   0.53178, 0, 0, 0, 0, 0, 0, 0, 0
"3103038", 0.415, 2,    182.526, -171.9,    0.7618, 0, 0, 0, 0, 0, 0, 0, 0
"3103045", 0.415, 3,    128.762,   48.5,    0.5374, 0, 0, 0, 0, 0, 0, 0, 0
"3102663", 0.415, 2,    183.545, -171.4,   0.76605, 0, 0, 0, 0, 0, 0, 0, 0
"3102683", 0.415, 3,     128.57,   48.1,    0.5366, 0, 0, 0, 0, 0, 0, 0, 0
"3102698", 0.415, 3,     133.88,   49.4,   0.55877, 0, 0, 0, 0, 0, 0, 0, 0
"3102723", 0.415, 1,    139.656,  -70.7,   0.58287, 0, 0, 0, 0, 0, 0, 0, 0
