,Bus1,Bus2,C0,C1,CMatrix,EmergAmps,Geometry,Length,LineCode,Name,NormAmps,NumCust,Parent,Phases,R0,R1,Rg,Rho,RMatrix,Spacing,TotalCust,Units,X0,X1,Xg,XMatrix,Yprim,Idx,IsSwitch,SeasonRating
line_75611218_3103386_3103145,3103145.1.2.3,3103386.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.019799999237060547,3p_code5,line_75611218_3103386_3103145,400.0,0,0,3,1e-05,0.7839,0.01805,100.0,"[0.5226033333333333, -0.2612966666666667, -0.2612966666666667, -0.2612966666666667, 0.5226033333333333, -0.2612966666666667, -0.2612966666666667, -0.2612966666666667, 0.5226033333333333]",,9,3,1e-05,0.0915,0.155081,"[0.06100333333333333, -0.030496666666666665, -0.030496666666666665, -0.030496666666666665, 0.06100333333333333, -0.030496666666666665, -0.030496666666666665, -0.030496666666666665, 0.06100333333333333]","[1098.5352056660213, 718.4276868794105, 1035.3469862449285, 727.2783904033752, 1035.3469862449283, 727.278390403375, -1098.5352056660213, -718.4276868794102, -1035.3469862449285, -727.2783904033752, -1035.3469862449283, -727.278390403375, 1035.3469862449285, 727.2783904033752, 1098.5352056660217, 718.4276868794109, 1035.3469862449285, 727.2783904033753, -1035.3469862449285, -727.2783904033752, -1098.5352056660217, -718.4276868794105, -1035.3469862449285, -727.2783904033753, 1035.3469862449283, 727.278390403375, 1035.3469862449285, 727.2783904033753, 1098.5352056660215, 718.4276868794108, -1035.3469862449283, -727.278390403375, -1035.3469862449285, -727.2783904033753, -1098.5352056660215, -718.4276868794104, -1098.5352056660213, -718.4276868794102, -1035.3469862449285, -727.2783904033752, -1035.3469862449283, -727.278390403375, 1098.5352056660213, 718.4276868794105, 1035.3469862449285, 727.2783904033752, 1035.3469862449283, 727.278390403375, -1035.3469862449285, -727.2783904033752, -1098.5352056660217, -718.4276868794105, -1035.3469862449285, -727.2783904033753, 1035.3469862449285, 727.2783904033752, 1098.5352056660217, 718.4276868794109, 1035.3469862449285, 727.2783904033753, -1035.3469862449283, -727.278390403375, -1035.3469862449285, -727.2783904033753, -1098.5352056660215, -718.4276868794104, 1035.3469862449283, 727.278390403375, 1035.3469862449285, 727.2783904033753, 1098.5352056660215, 718.4276868794108]",1,False,400.0
line_75611275_3102384_3102287,3102287.1.2.3,3102384.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.04,3p_oh_code2,line_75611275_3102384_3102287,400.0,0,0,3,1e-05,0.4428,0.01805,100.0,"[0.2952033333333333, -0.14759666666666665, -0.14759666666666665, -0.14759666666666665, 0.2952033333333333, -0.14759666666666665, -0.14759666666666665, -0.14759666666666665, 0.2952033333333333]",,0,3,1e-05,0.3782,0.155081,"[0.2521366666666666, -0.1260633333333333, -0.1260633333333333, -0.1260633333333333, 0.2521366666666666, -0.1260633333333333, -0.1260633333333333, -0.1260633333333333, 0.2521366666666666]","[541.2790586429905, 339.72849599550136, 513.7446620479647, 367.9493870313779, 513.7446620479647, 367.94938703137785, -541.2790586429905, -339.7284959955006, -513.7446620479647, -367.9493870313779, -513.7446620479647, -367.94938703137785, 513.7446620479647, 367.9493870313779, 541.2790586429904, 339.72849599550125, 513.7446620479645, 367.94938703137785, -513.7446620479647, -367.9493870313779, -541.2790586429904, -339.7284959955005, -513.7446620479645, -367.94938703137785, 513.7446620479647, 367.94938703137785, 513.7446620479645, 367.94938703137785, 541.2790586429903, 339.7284959955012, -513.7446620479647, -367.94938703137785, -513.7446620479645, -367.94938703137785, -541.2790586429903, -339.72849599550045, -541.2790586429905, -339.7284959955006, -513.7446620479647, -367.9493870313779, -513.7446620479647, -367.94938703137785, 541.2790586429905, 339.72849599550136, 513.7446620479647, 367.9493870313779, 513.7446620479647, 367.94938703137785, -513.7446620479647, -367.9493870313779, -541.2790586429904, -339.7284959955005, -513.7446620479645, -367.94938703137785, 513.7446620479647, 367.9493870313779, 541.2790586429904, 339.72849599550125, 513.7446620479645, 367.94938703137785, -513.7446620479647, -367.94938703137785, -513.7446620479645, -367.94938703137785, -541.2790586429903, -339.72849599550045, 513.7446620479647, 367.94938703137785, 513.7446620479645, 367.94938703137785, 541.2790586429903, 339.7284959955012]",2,False,400.0
line_75611374_3102542_3102372,3102372.1.2.3,3102542.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.038400001525878906,3p_code0,line_75611374_3102542_3102372,400.0,0,0,3,1e-05,0.32,0.01805,100.0,"[0.21333666666666665, -0.10666333333333333, -0.10666333333333333, -0.10666333333333333, 0.21333666666666665, -0.10666333333333333, -0.10666333333333333, -0.10666333333333333, 0.21333666666666665]",,0,3,1e-05,0.063,0.155081,"[0.04200333333333334, -0.020996666666666667, -0.020996666666666667, -0.020996666666666667, 0.04200333333333334, -0.020996666666666667, -0.020996666666666667, -0.020996666666666667, 0.04200333333333334]","[596.0966622732562, 361.34186597251676, 519.0185024059034, 379.55158124117827, 519.0185024059033, 379.55158124117827, -596.0966622732562, -361.341865972516, -519.0185024059034, -379.55158124117827, -519.0185024059033, -379.55158124117827, 519.0185024059034, 379.55158124117827, 596.0966622732567, 361.3418659725169, 519.0185024059034, 379.5515812411783, -519.0185024059034, -379.55158124117827, -596.0966622732567, -361.3418659725162, -519.0185024059034, -379.5515812411783, 519.0185024059033, 379.55158124117827, 519.0185024059034, 379.5515812411783, 596.0966622732566, 361.34186597251687, -519.0185024059033, -379.55158124117827, -519.0185024059034, -379.5515812411783, -596.0966622732566, -361.34186597251613, -596.0966622732562, -361.341865972516, -519.0185024059034, -379.55158124117827, -519.0185024059033, -379.55158124117827, 596.0966622732562, 361.34186597251676, 519.0185024059034, 379.55158124117827, 519.0185024059033, 379.55158124117827, -519.0185024059034, -379.55158124117827, -596.0966622732567, -361.3418659725162, -519.0185024059034, -379.5515812411783, 519.0185024059034, 379.55158124117827, 596.0966622732567, 361.3418659725169, 519.0185024059034, 379.5515812411783, -519.0185024059033, -379.55158124117827, -519.0185024059034, -379.5515812411783, -596.0966622732566, -361.34186597251613, 519.0185024059033, 379.55158124117827, 519.0185024059034, 379.5515812411783, 596.0966622732566, 361.34186597251687]",3,False,400.0
line_75611386_3102713_3102383,3102383.1.2.3,3102713.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.018700000762939453,3p_oh_code4,line_75611386_3102713_3102383,400.0,0,0,3,1e-05,0.5875,0.01805,100.0,"[0.39167, -0.19583, -0.19583, -0.19583, 0.39167, -0.19583, -0.19583, -0.19583, 0.39167]",,0,3,1e-05,0.3745,0.155081,"[0.24966999999999998, -0.12483, -0.12483, -0.12483, 0.24966999999999998, -0.12483, -0.12483, -0.12483, 0.24966999999999998]","[1156.8334272410707, 737.6523155497092, 1099.4103652402996, 781.5772926784687, 1099.4103652403, 781.5772926784688, -1156.8334272410707, -737.6523155497089, -1099.4103652402996, -781.5772926784687, -1099.4103652403, -781.5772926784688, 1099.4103652402996, 781.5772926784687, 1156.8334272410707, 737.6523155497088, 1099.4103652403, 781.5772926784686, -1099.4103652402996, -781.5772926784687, -1156.8334272410707, -737.6523155497084, -1099.4103652403, -781.5772926784686, 1099.4103652403, 781.5772926784688, 1099.4103652403, 781.5772926784686, 1156.8334272410711, 737.6523155497091, -1099.4103652403, -781.5772926784688, -1099.4103652403, -781.5772926784686, -1156.8334272410711, -737.6523155497088, -1156.8334272410707, -737.6523155497089, -1099.4103652402996, -781.5772926784687, -1099.4103652403, -781.5772926784688, 1156.8334272410707, 737.6523155497092, 1099.4103652402996, 781.5772926784687, 1099.4103652403, 781.5772926784688, -1099.4103652402996, -781.5772926784687, -1156.8334272410707, -737.6523155497084, -1099.4103652403, -781.5772926784686, 1099.4103652402996, 781.5772926784687, 1156.8334272410707, 737.6523155497088, 1099.4103652403, 781.5772926784686, -1099.4103652403, -781.5772926784688, -1099.4103652403, -781.5772926784686, -1156.8334272410711, -737.6523155497088, 1099.4103652403, 781.5772926784688, 1099.4103652403, 781.5772926784686, 1156.8334272410711, 737.6523155497091]",4,False,400.0
line_75611387_3102702_3102384,3102384.1.2.3,3102702.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.04520000076293945,3p_oh_code2,line_75611387_3102702_3102384,400.0,0,0,3,1e-05,0.4428,0.01805,100.0,"[0.2952033333333333, -0.14759666666666665, -0.14759666666666665, -0.14759666666666665, 0.2952033333333333, -0.14759666666666665, -0.14759666666666665, -0.14759666666666665, 0.2952033333333333]",,0,3,1e-05,0.3782,0.155081,"[0.2521366666666666, -0.1260633333333333, -0.1260633333333333, -0.1260633333333333, 0.2521366666666666, -0.1260633333333333, -0.1260633333333333, -0.1260633333333333, 0.2521366666666666]","[479.00800841295336, 300.6446816470419, 454.6412861737786, 325.6189210802548, 454.6412861737787, 325.61892108025484, -479.00800841295336, -300.64468164704107, -454.6412861737786, -325.6189210802548, -454.6412861737787, -325.61892108025484, 454.6412861737786, 325.6189210802548, 479.0080084129534, 300.6446816470417, 454.64128617377867, 325.6189210802547, -454.6412861737786, -325.6189210802548, -479.0080084129534, -300.64468164704084, -454.64128617377867, -325.6189210802547, 454.6412861737787, 325.61892108025484, 454.64128617377867, 325.6189210802547, 479.0080084129535, 300.6446816470418, -454.6412861737787, -325.61892108025484, -454.64128617377867, -325.6189210802547, -479.0080084129535, -300.64468164704095, -479.00800841295336, -300.64468164704107, -454.6412861737786, -325.6189210802548, -454.6412861737787, -325.61892108025484, 479.00800841295336, 300.6446816470419, 454.6412861737786, 325.6189210802548, 454.6412861737787, 325.61892108025484, -454.6412861737786, -325.6189210802548, -479.0080084129534, -300.64468164704084, -454.64128617377867, -325.6189210802547, 454.6412861737786, 325.6189210802548, 479.0080084129534, 300.6446816470417, 454.64128617377867, 325.6189210802547, -454.6412861737787, -325.61892108025484, -454.64128617377867, -325.6189210802547, -479.0080084129535, -300.64468164704095, 454.6412861737787, 325.61892108025484, 454.64128617377867, 325.6189210802547, 479.0080084129535, 300.6446816470418]",5,False,400.0
line_75611482_3102384_3102444,3102444.3,3102384.3,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.019,1p_code1,line_75611482_3102384_3102444,400.0,0,0,1,1.247,1.247,0.01805,100.0,[1.247],,0,3,0.2494,0.2494,0.155081,[0.24939999999999998],"[39.84080386425895, -9.455139036240746, -39.84080386425895, 9.455139036241105, -39.84080386425895, 9.455139036241105, 39.84080386425895, -9.455139036240746]",6,False,400.0
line_75611532_3102372_3102482,3102482.3,3102372.3,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.018600000381469726,1p_code1,line_75611532_3102372_3102482,400.0,0,0,1,1.247,1.247,0.01805,100.0,[1.247],,0,3,0.2494,0.2494,0.155081,[0.24939999999999998],"[40.6975945105387, -9.6584751615139, -40.6975945105387, 9.65847516151425, -40.6975945105387, 9.65847516151425, 40.6975945105387, -9.6584751615139]",7,False,400.0
line_75611594_3102645_3102519,3102519.1.2.3,3102645.1.2.3,0.00010000000000000002,0.00010000000000000002,"[0.0001, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0001]",600.0,,0.0115,3p_oh_code2,line_75611594_3102645_3102519,400.0,0,0,3,1e-05,0.4428,0.01805,100.0,"[0.2952033333333333, -0.14759666666666665, -0.14759666666666665, -0.14759666666666665, 0.2952033333333333, -0.14759666666666665, -0.14759666666666665, -0.14759666666666665, 0.2952033333333333]",,0,3,1e-05,0.3782,0.155081,"[0.2521366666666666, -0.1260633333333333, -0.1260633333333333, -0.1260633333333333, 0.2521366666666666, -0.1260633333333333, -0.1260633333333333, -0.1260633333333333, 0.2521366666666666]","[1882.7097691930117, 1181.6643338973831, 1786.9379549494433, 1279.823954891739, 1786.9379549494436, 1279.8239548917388, -1882.7097691930117, -1181.664333897383, -1786.9379549494433, -1279.823954891739, -1786.9379549494436, -1279.8239548917388, 1786.9379549494433, 1279.823954891739, 1882.7097691930112, 1181.6643338973834, 1786.9379549494433, 1279.823954891739, -1786.9379549494433, -1279.823954891739, -1882.7097691930112, -1181.6643338973831, -1786.9379549494433, -1279.823954891739, 1786.9379549494436, 1279.8239548917388, 1786.9379549494433, 1279.823954891739, 1882.7097691930114, 1181.664333897383, -1786.9379549494436, -1279.8239548917388, -1786.9379549494433, -1279.823954891739, -1882.7097691930114, -1181.6643338973827, -1882.7097691930117, -1181.664333897383, -1786.9379549494433, -1279.823954891739, -1786.9379549494436, -1279.8239548917388, 1882.7097691930117, 1181.6643338973831, 1786.9379549494433, 1279.823954891739, 1786.9379549494436, 1279.8239548917388, -1786.9379549494433, -1279.823954891739, -1882.7097691930112, -1181.6643338973831, -1786.9379549494433, -1279.823954891739, 1786.9379549494433, 1279.823954891739, 1882.7097691930112, 1181.6643338973834, 1786.9379549494433, 1279.823954891739, -1786.9379549494436, -1279.8239548917388, -1786.9379549494433, -1279.823954891739, -1882.7097691930114, -1181.6643338973827, 1786.9379549494436, 1279.8239548917388, 1786.9379549494433, 1279.823954891739, 1882.7097691930114, 1181.664333897383]",8,False,400.0
line_75611621_3102933_3102533,3102533.1,3102933.1,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.024399999618530274,1p_code1,line_75611621_3102933_3102533,400.0,0,0,1,1.247,1.247,0.01805,100.0,[1.247],,0,3,0.2494,0.2494,0.155081,[0.24939999999999998],"[31.023577264568665, -7.362608381032046, -31.023577264568665, 7.362608381032506, -31.023577264568665, 7.362608381032506, 31.023577264568665, -7.362608381032046]",9,False,400.0
line_75611631_3102533_3102542,3102542.1,3102533.1,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.011899999618530274,1p_code1,line_75611631_3102533_3102542,400.0,0,0,1,1.247,1.247,0.01805,100.0,[1.247],,0,3,0.2494,0.2494,0.155081,[0.24939999999999998],"[63.61136955350686, -15.096440961967518, -63.61136955350686, 15.096440961967742, -63.61136955350686, 15.096440961967742, 63.61136955350686, -15.096440961967518]",10,False,400.0
