Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"3101027", 0.415, 1,    252.525,  -36.6,    1.0539, 2,    249.808, -158.1,    1.0426, 3,    250.401,   83.0,    1.0451
"3098457", 0.415, 1,    254.388,  -36.2,    1.0617, 2,    252.568, -157.3,    1.0541, 3,    253.794,   83.3,    1.0592
"3101128", 0.415, 1,    253.625,  -36.4,    1.0585, 2,    251.147, -157.5,    1.0482, 3,    252.877,   83.3,    1.0554
"3101179", 0.415, 1,    250.783,  -36.9,    1.0467, 2,    248.614, -158.4,    1.0376, 3,    248.342,   82.6,    1.0365
"3101202", 0.415, 1,    251.975,  -36.7,    1.0516, 2,    249.821, -158.2,    1.0427, 3,    249.878,   82.8,    1.0429
"3101348", 0.415, 1,    254.157,  -36.2,    1.0608, 2,    252.132, -157.5,    1.0523, 3,    252.847,   83.3,    1.0553
"3101349", 0.415, 1,    252.522,  -36.6,    1.0539, 2,    249.839, -158.1,    1.0427, 3,    250.366,   83.0,    1.0449
"3101477", 0.415, 1,    254.173,  -36.2,    1.0608, 2,    252.148, -157.5,    1.0524, 3,    252.864,   83.3,    1.0554
"3101502", 0.415, 1,    254.352,  -36.2,    1.0616, 2,    252.451, -157.3,    1.0536, 3,    253.784,   83.4,    1.0592
"3098762", 0.415, 1,    252.731,  -36.6,    1.0548, 2,    250.425, -158.0,    1.0452, 3,    250.776,   82.9,    1.0466
"3101599", 0.415, 1,    252.632,  -36.6,    1.0544, 2,    250.326, -158.0,    1.0448, 3,    250.678,   82.9,    1.0462
"3101600", 0.415, 1,    252.607,  -36.6,    1.0543, 2,    250.301, -158.0,    1.0447, 3,    250.653,   82.9,    1.0461
"3098766", 0.415, 1,    252.614,  -36.6,    1.0543, 2,    250.316, -158.0,    1.0447, 3,    250.674,   82.9,    1.0462
"3101601", 0.415, 1,     252.56,  -36.6,    1.0541, 2,    250.265, -158.1,    1.0445, 3,    250.627,   82.9,     1.046
"3102604", 0.415, 2,    248.303, -158.4,    1.0363, 0, 0, 0, 0, 0, 0, 0, 0
"3102607", 0.415, 2,    249.813, -158.1,    1.0426, 0, 0, 0, 0, 0, 0, 0, 0
"3102608", 0.415, 3,    250.334,   83.0,    1.0448, 0, 0, 0, 0, 0, 0, 0, 0
"3102628", 0.415, 2,    250.214, -158.1,    1.0443, 0, 0, 0, 0, 0, 0, 0, 0
"3102629", 0.415, 1,      252.5,  -36.6,    1.0538, 0, 0, 0, 0, 0, 0, 0, 0
"3102630", 0.415, 3,    250.425,   82.9,    1.0452, 0, 0, 0, 0, 0, 0, 0, 0
"3102642", 0.415, 2,    250.721, -157.5,    1.0464, 0, 0, 0, 0, 0, 0, 0, 0
"3102643", 0.415, 2,    250.183, -157.6,    1.0442, 0, 0, 0, 0, 0, 0, 0, 0
"3102644", 0.415, 3,    252.238,   83.3,    1.0527, 0, 0, 0, 0, 0, 0, 0, 0
"3102645", 0.415, 1,     253.14,  -36.4,    1.0565, 0, 0, 0, 0, 0, 0, 0, 0
"3102646", 0.415, 1,    253.211,  -36.4,    1.0568, 0, 0, 0, 0, 0, 0, 0, 0
"3102647", 0.415, 1,    249.327,  -37.1,    1.0406, 0, 0, 0, 0, 0, 0, 0, 0
"3102734", 0.415, 1,    254.158,  -36.2,    1.0608, 0, 0, 0, 0, 0, 0, 0, 0
"3102735", 0.415, 2,    250.054, -157.7,    1.0436, 0, 0, 0, 0, 0, 0, 0, 0
"3102736", 0.415, 1,    253.731,  -36.3,     1.059, 0, 0, 0, 0, 0, 0, 0, 0
"3102737", 0.415, 3,    248.318,   82.6,    1.0364, 0, 0, 0, 0, 0, 0, 0, 0
"3102738", 0.415, 3,    248.393,   82.6,    1.0367, 0, 0, 0, 0, 0, 0, 0, 0
"3102739", 0.415, 3,    246.851,   82.4,    1.0303, 0, 0, 0, 0, 0, 0, 0, 0
"3102740", 0.415, 2,    247.785, -158.6,    1.0342, 0, 0, 0, 0, 0, 0, 0, 0
"3102903", 0.415, 2,    249.322, -158.0,    1.0406, 0, 0, 0, 0, 0, 0, 0, 0
"3102909", 0.415, 3,    246.984,   82.4,    1.0308, 0, 0, 0, 0, 0, 0, 0, 0
"3103007", 0.415, 3,    251.896,   83.3,    1.0513, 0, 0, 0, 0, 0, 0, 0, 0
"3103127", 0.415, 3,    247.905,   82.5,    1.0347, 0, 0, 0, 0, 0, 0, 0, 0
"3103128", 0.415, 1,    250.219,  -36.9,    1.0443, 2,      248.1, -158.4,    1.0355, 3,    247.782,   82.6,    1.0341
"3103129", 0.415, 1,    250.331,  -36.9,    1.0448, 0, 0, 0, 0, 0, 0, 0, 0
"3103130", 0.415, 3,     247.88,   82.6,    1.0346, 0, 0, 0, 0, 0, 0, 0, 0
"3103131", 0.415, 1,    250.333,  -36.9,    1.0448, 0, 0, 0, 0, 0, 0, 0, 0
"3103132", 0.415, 2,    248.221, -158.4,     1.036, 0, 0, 0, 0, 0, 0, 0, 0
"3103169", 0.415, 3,    253.693,   83.3,    1.0588, 0, 0, 0, 0, 0, 0, 0, 0
"3103184", 0.415, 2,    250.583, -157.6,    1.0458, 0, 0, 0, 0, 0, 0, 0, 0
