Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS_11000", 11, 1,    6350.85,    0.0,         1, 2,    6350.81, -120.0,   0.99999, 3,    6350.85,  120.0,         1
"3102751", 0.415, 1,    262.932,  -30.6,    1.0974, 2,    254.328, -157.2,    1.0615, 3,    262.055,   88.7,    1.0937
"3102961", 0.415, 1,    262.964,  -30.6,    1.0975, 2,    254.534, -157.1,    1.0623, 3,    262.281,   88.7,    1.0947
"3104390", 0.415, 2,    254.092, -157.2,    1.0605, 0, 0, 0, 0, 0, 0, 0, 0
"3103520", 0.415, 1,    262.885,  -30.7,    1.0972, 2,    254.034, -157.3,    1.0602, 3,    261.734,   88.7,    1.0924
"3106087", 0.415, 1,    262.885,  -30.7,    1.0972, 0, 0, 0, 0, 0, 0, 0, 0
"3103521", 0.415, 2,     253.65, -157.3,    1.0586, 0, 0, 0, 0, 0, 0, 0, 0
"3106088", 0.415, 2,     253.56, -157.3,    1.0583, 0, 0, 0, 0, 0, 0, 0, 0
"3103686", 0.415, 2,    253.447, -157.4,    1.0578, 0, 0, 0, 0, 0, 0, 0, 0
"3106259", 0.415, 2,    252.988, -157.4,    1.0559, 0, 0, 0, 0, 0, 0, 0, 0
"3103768", 0.415, 1,    262.947,  -30.6,    1.0974, 2,    254.522, -157.1,    1.0623, 3,    262.285,   88.7,    1.0947
"3106340", 0.415, 1,     262.89,  -30.6,    1.0972, 0, 0, 0, 0, 0, 0, 0, 0
"3104767", 0.415, 2,    253.071, -157.3,    1.0562, 0, 0, 0, 0, 0, 0, 0, 0
"3107901", 0.415, 2,    253.447, -157.4,    1.0578, 0, 0, 0, 0, 0, 0, 0, 0
"3108550", 0.415, 3,     261.56,   88.7,    1.0917, 0, 0, 0, 0, 0, 0, 0, 0
"3108551", 0.415, 2,    252.914, -157.4,    1.0556, 0, 0, 0, 0, 0, 0, 0, 0
"3108561", 0.415, 2,    252.927, -157.3,    1.0556, 0, 0, 0, 0, 0, 0, 0, 0
"3108673", 0.415, 1,    262.861,  -30.7,    1.0971, 0, 0, 0, 0, 0, 0, 0, 0
