,Bus1,Bus2,C0,C1,CMatrix,EmergAmps,Geometry,Length,LineCode,Name,NormAmps,NumCust,Parent,Phases,R0,R1,Rg,Rho,RMatrix,Spacing,TotalCust,Units,X0,X1,Xg,XMatrix,Yprim,Idx,IsSwitch,SeasonRating
line_75612402_3105843_3102652,3102652.2,3105843.2,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.031700000762939454,1p_code1,line_75612402_3105843_3102652,400.0,0,0,1,1.247,1.247,0.01805,100.0,[1.247],,2,3,0.2494,0.2494,0.155081,[0.24939999999999998],"[23.879345589981863, -5.667117897946188, -23.879345589981863, 5.6671178979467856, -23.879345589981863, 5.6671178979467856, 23.879345589981863, -5.667117897946188]",1,False,400.0
line_75612741_3105095_3102962,3102962.2,3105095.2,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.09819999694824219,1p_oh_code0,line_75612741_3105095_3102962,400.0,0,0,1,0.3751,0.3751,0.01805,100.0,[0.3751],,0,3,0.3601,0.3601,0.155081,[0.3600999999999999],"[11.75729808029537, -13.338406933101988, -11.75729808029537, 13.338406933103839, -11.75729808029537, 13.338406933103839, 11.75729808029537, -13.338406933101988]",2,False,400.0
line_75614297_3102652_3102962,3102962.2,3102652.2,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.041099998474121095,1p_code1,line_75614297_3102652_3102962,400.0,0,0,1,1.247,1.247,0.01805,100.0,[1.247],,0,3,0.2494,0.2494,0.155081,[0.24939999999999998],"[18.417890548038702, -4.370989011147178, -18.417890548038702, 4.370989011147953, -18.417890548038702, 4.370989011147953, 18.417890548038702, -4.370989011147178]",3,False,400.0
line_75615713_3107301_3105095,3105095.2,3107301.2,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.0675999984741211,1p_oh_code0,line_75615713_3107301_3105095,400.0,0,0,1,0.3751,0.3751,0.01805,100.0,[0.3751],,0,3,0.3601,0.3601,0.155081,[0.3600999999999999],"[17.07938848617837, -19.376206356373785, -17.07938848617837, 19.37620635637506, -17.07938848617837, 19.37620635637506, 17.07938848617837, -19.376206356373785]",4,False,400.0
line_75615864_3105843_3105182,3105182.2,3105843.2,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.0185,1p_code1,line_75615864_3105843_3105182,400.0,2,5,1,1.247,1.247,0.01805,100.0,[1.247],,2,3,0.2494,0.2494,0.155081,[0.24939999999999998],"[23.879345589981863, -5.667117897946188, -23.879345589981863, 5.6671178979467856, -23.879345589981863, 5.6671178979467856, 23.879345589981863, -5.667117897946188]",5,False,400.0
line_75624185_3108602_3107301,3107301.2,3108602.2,0.00010000000000000002,0.00010000000000000002,[0.0001],600.0,,0.01905507546757426,1p_code2,line_75624185_3108602_3107301,400.0,0,0,1,0.7839,0.7839,0.01805,100.0,[0.7839],,0,3,0.0915,0.0915,0.155081,[0.09149999999999998],"[65.42472539451136, -8.915803462534035, -65.42472539451136, 8.915803462534393, -65.42472539451136, 8.915803462534393, 65.42472539451136, -8.915803462534035]",6,False,400.0
